route_id,trip_id,trip_headsign,direction_id
C,041900_C..S04R,Euclid Av,1
C,043300_C..N04R,168 St,0
C,043900_C..S04R,Euclid Av,1
C,045300_C..N04R,168 St,0
C,045900_C..S04R,Euclid Av,1
C,047400_C..S04R,Euclid Av,1
C,048000_C..N04R,168 St,0
C,048600_C..S04R,Euclid Av,1
C,049200_C..N04R,168 St,0
C,049800_C..S04R,Euclid Av,1
C,050400_C..N04R,168 St,0
C,051000_C..S04R,Euclid Av,1
C,051600_C..N04R,168 St,0
C,052200_C..S04R,Euclid Av,1
C,052800_C..N04R,168 St,0
C,053400_C..S04R,Euclid Av,1
C,054600_C..S04R,Euclid Av,1
C,055200_C..N04R,168 St,0
C,055800_C..S04R,Euclid Av,1
C,056400_C..N04R,168 St,0
C,057000_C..S04R,Euclid Av,1
C,057600_C..N04R,168 St,0
C,058200_C..S04R,Euclid Av,1
C,058800_C..N04R,168 St,0
C,059400_C..S04R,Euclid Av,1
C,060600_C..S04R,Euclid Av,1
C,061200_C..N04R,168 St,0
C,061800_C..S04R,Euclid Av,1
C,062400_C..N04R,168 St,0
C,063000_C..S04R,Euclid Av,1
C,063600_C..N04R,168 St,0
C,064200_C..S04R,Euclid Av,1
C,064800_C..N04R,168 St,0
C,065400_C..S04R,Euclid Av,1
C,066000_C..N04R,168 St,0
C,066600_C..S04R,Euclid Av,1
C,067200_C..N04R,168 St,0
C,067800_C..S04R,Euclid Av,1
C,068400_C..N04R,168 St,0
C,069000_C..S04R,Euclid Av,1
C,069600_C..N04R,168 St,0
C,070200_C..S04R,Euclid Av,1
C,070800_C..N04R,168 St,0
C,071400_C..S04R,Euclid Av,1
C,072000_C..N04R,168 St,0
C,072600_C..S04R,Euclid Av,1
C,073200_C..N04R,168 St,0
C,073800_C..S04R,Euclid Av,1
C,074400_C..N04R,168 St,0
C,075000_C..S04R,Euclid Av,1
C,075600_C..N04R,168 St,0
C,076200_C..S04R,Euclid Av,1
C,076800_C..N04R,168 St,0
C,077400_C..S04R,Euclid Av,1
C,078000_C..N04R,168 St,0
C,078600_C..S04R,Euclid Av,1
C,079200_C..N04R,168 St,0
C,079800_C..S04R,Euclid Av,1
C,080400_C..N04R,168 St,0
C,081000_C..S04R,Euclid Av,1
C,081600_C..N04R,168 St,0
C,082200_C..S04R,Euclid Av,1
C,082800_C..N04R,168 St,0
C,083400_C..S04R,Euclid Av,1
C,084000_C..N04R,168 St,0
C,084600_C..S04R,Euclid Av,1
C,085200_C..N04R,168 St,0
C,085800_C..S04R,Euclid Av,1
C,086400_C..N04R,168 St,0
C,087000_C..S04R,Euclid Av,1
C,087600_C..N04R,168 St,0
C,088200_C..S04R,Euclid Av,1
C,088800_C..N04R,168 St,0
C,089400_C..S04R,Euclid Av,1
C,090000_C..N04R,168 St,0
C,090600_C..S04R,Euclid Av,1
C,091200_C..N04R,168 St,0
C,091800_C..S04R,Euclid Av,1
C,092400_C..N04R,168 St,0
C,093000_C..S04R,Euclid Av,1
